"subplot_name","subplot_id","block_number","plot_number","subplot_number","biomass_1","biomass_2","biomass_3","biomass_4"
"SpringOatPeaIntercrop_2024_NY_42_subplot_3",714506,1,42,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_43_subplot_1",713614,1,43,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_43_subplot_2",713616,1,43,2,,,,
"SpringOatPeaIntercrop_2024_NY_43_subplot_3",713618,1,43,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_44_subplot_1",713750,1,44,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_44_subplot_2",713752,1,44,2,,,,
"SpringOatPeaIntercrop_2024_NY_44_subplot_3",713754,1,44,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_45_subplot_1",714101,1,45,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_45_subplot_2",714102,1,45,2,,,,
"SpringOatPeaIntercrop_2024_NY_45_subplot_3",714103,1,45,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_46_subplot_1",714035,1,46,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_46_subplot_2",714036,1,46,2,,,,
"SpringOatPeaIntercrop_2024_NY_46_subplot_3",714037,1,46,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_47_subplot_1",713544,1,47,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_47_subplot_2",713546,1,47,2,,,,
"SpringOatPeaIntercrop_2024_NY_47_subplot_3",713548,1,47,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_48_subplot_1",714496,1,48,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_48_subplot_2",714498,1,48,2,,,,
"SpringOatPeaIntercrop_2024_NY_48_subplot_3",714500,1,48,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_49_subplot_1",714026,1,49,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_49_subplot_2",714027,1,49,2,,,,
"SpringOatPeaIntercrop_2024_NY_49_subplot_3",714028,1,49,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_50_subplot_1",714241,1,50,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_50_subplot_2",714243,1,50,2,,,,
"SpringOatPeaIntercrop_2024_NY_50_subplot_3",714245,1,50,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_51_subplot_1",714119,2,51,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_51_subplot_2",714120,2,51,2,,,,
"SpringOatPeaIntercrop_2024_NY_51_subplot_3",714121,2,51,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_52_subplot_1",713590,2,52,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_52_subplot_2",713592,2,52,2,,,,
"SpringOatPeaIntercrop_2024_NY_52_subplot_3",713594,2,52,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_53_subplot_1",714288,2,53,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_53_subplot_2",714290,2,53,2,,,,
"SpringOatPeaIntercrop_2024_NY_53_subplot_3",714292,2,53,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_54_subplot_1",714199,2,54,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_54_subplot_2",714201,2,54,2,,,,
"SpringOatPeaIntercrop_2024_NY_54_subplot_3",714203,2,54,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_55_subplot_1",713978,2,55,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_55_subplot_2",713980,2,55,2,,,,
"SpringOatPeaIntercrop_2024_NY_55_subplot_3",713982,2,55,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_56_subplot_1",714065,2,56,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_56_subplot_2",714066,2,56,2,,,,
"SpringOatPeaIntercrop_2024_NY_56_subplot_3",714067,2,56,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_57_subplot_1",714443,2,57,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_57_subplot_2",714445,2,57,2,,,,
"SpringOatPeaIntercrop_2024_NY_57_subplot_3",714447,2,57,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_58_subplot_1",713503,2,58,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_58_subplot_2",713505,2,58,2,,,,
"SpringOatPeaIntercrop_2024_NY_58_subplot_3",713507,2,58,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_59_subplot_1",714083,2,59,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_59_subplot_2",714084,2,59,2,,,,
"SpringOatPeaIntercrop_2024_NY_59_subplot_3",714085,2,59,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_60_subplot_1",714347,2,60,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_60_subplot_2",714349,2,60,2,,,,
"SpringOatPeaIntercrop_2024_NY_60_subplot_3",714351,2,60,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_61_subplot_1",714323,2,61,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_61_subplot_2",714325,2,61,2,,,,
"SpringOatPeaIntercrop_2024_NY_61_subplot_3",714327,2,61,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_62_subplot_1",713961,2,62,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_62_subplot_2",713963,2,62,2,,,,
"SpringOatPeaIntercrop_2024_NY_62_subplot_3",713965,2,62,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_63_subplot_1",714145,2,63,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_63_subplot_2",714147,2,63,2,,,,
"SpringOatPeaIntercrop_2024_NY_63_subplot_3",714149,2,63,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_64_subplot_1",714252,2,64,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_64_subplot_2",714254,2,64,2,,,,
"SpringOatPeaIntercrop_2024_NY_64_subplot_3",714256,2,64,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_65_subplot_1",713602,2,65,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_65_subplot_2",713604,2,65,2,,,,
"SpringOatPeaIntercrop_2024_NY_65_subplot_3",713606,2,65,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_66_subplot_1",714584,2,66,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_66_subplot_2",714586,2,66,2,,,,
"SpringOatPeaIntercrop_2024_NY_66_subplot_3",714588,2,66,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_67_subplot_1",714050,2,67,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_67_subplot_2",714051,2,67,2,,,,
"SpringOatPeaIntercrop_2024_NY_67_subplot_3",714052,2,67,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_68_subplot_1",713937,2,68,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_68_subplot_2",713939,2,68,2,,,,
"SpringOatPeaIntercrop_2024_NY_68_subplot_3",713941,2,68,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_69_subplot_1",714555,2,69,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_69_subplot_2",714557,2,69,2,,,,
"SpringOatPeaIntercrop_2024_NY_69_subplot_3",714559,2,69,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_70_subplot_1",714461,2,70,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_70_subplot_2",714462,2,70,2,,,,
"SpringOatPeaIntercrop_2024_NY_70_subplot_3",714464,2,70,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_71_subplot_1",714543,2,71,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_71_subplot_2",714545,2,71,2,,,,
"SpringOatPeaIntercrop_2024_NY_71_subplot_3",714547,2,71,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_72_subplot_1",713781,2,72,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_72_subplot_2",713783,2,72,2,,,,
"SpringOatPeaIntercrop_2024_NY_72_subplot_3",713785,2,72,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_73_subplot_1",714074,2,73,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_73_subplot_2",714075,2,73,2,,,,
"SpringOatPeaIntercrop_2024_NY_73_subplot_3",714076,2,73,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_74_subplot_1",714519,2,74,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_74_subplot_2",714521,2,74,2,,,,
"SpringOatPeaIntercrop_2024_NY_74_subplot_3",714523,2,74,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_75_subplot_1",713646,2,75,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_75_subplot_2",713648,2,75,2,,,,
"SpringOatPeaIntercrop_2024_NY_75_subplot_3",713650,2,75,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_76_subplot_1",714282,2,76,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_76_subplot_2",714284,2,76,2,,,,
"SpringOatPeaIntercrop_2024_NY_76_subplot_3",714286,2,76,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_77_subplot_1",714211,2,77,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_77_subplot_2",714213,2,77,2,,,,
"SpringOatPeaIntercrop_2024_NY_77_subplot_3",714215,2,77,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_78_subplot_1",713865,2,78,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_78_subplot_2",713867,2,78,2,,,,
"SpringOatPeaIntercrop_2024_NY_78_subplot_3",713869,2,78,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_79_subplot_1",714311,2,79,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_79_subplot_2",714313,2,79,2,,,,
"SpringOatPeaIntercrop_2024_NY_79_subplot_3",714315,2,79,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_80_subplot_1",714537,2,80,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_80_subplot_2",714539,2,80,2,,,,
"SpringOatPeaIntercrop_2024_NY_80_subplot_3",714541,2,80,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_81_subplot_1",714466,2,81,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_81_subplot_2",714468,2,81,2,,,,
"SpringOatPeaIntercrop_2024_NY_81_subplot_3",714470,2,81,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_82_subplot_1",713871,2,82,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_82_subplot_2",713873,2,82,2,,,,
"SpringOatPeaIntercrop_2024_NY_82_subplot_3",713875,2,82,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_83_subplot_1",714053,2,83,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_83_subplot_2",714054,2,83,2,,,,
"SpringOatPeaIntercrop_2024_NY_83_subplot_3",714055,2,83,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_84_subplot_1",714472,2,84,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_84_subplot_2",714474,2,84,2,,,,
"SpringOatPeaIntercrop_2024_NY_84_subplot_3",714476,2,84,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_85_subplot_1",713711,2,85,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_85_subplot_2",713713,2,85,2,,,,
"SpringOatPeaIntercrop_2024_NY_85_subplot_3",713715,2,85,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_86_subplot_1",714396,2,86,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_86_subplot_2",714398,2,86,2,,,,
"SpringOatPeaIntercrop_2024_NY_86_subplot_3",714400,2,86,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_87_subplot_1",714140,2,87,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_87_subplot_2",714142,2,87,2,,,,
"SpringOatPeaIntercrop_2024_NY_87_subplot_3",714143,2,87,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_88_subplot_1",713806,2,88,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_88_subplot_2",713808,2,88,2,,,,
"SpringOatPeaIntercrop_2024_NY_88_subplot_3",713809,2,88,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_89_subplot_1",714365,2,89,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_89_subplot_2",714367,2,89,2,,,,
"SpringOatPeaIntercrop_2024_NY_89_subplot_3",714370,2,89,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_90_subplot_1",714402,2,90,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_90_subplot_2",714404,2,90,2,,,,
"SpringOatPeaIntercrop_2024_NY_90_subplot_3",714406,2,90,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_91_subplot_1",714264,2,91,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_91_subplot_2",714266,2,91,2,,,,
"SpringOatPeaIntercrop_2024_NY_91_subplot_3",714268,2,91,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_92_subplot_1",713996,2,92,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_92_subplot_2",713998,2,92,2,,,,
"SpringOatPeaIntercrop_2024_NY_92_subplot_3",714000,2,92,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_93_subplot_1",714122,2,93,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_93_subplot_2",714123,2,93,2,,,,
"SpringOatPeaIntercrop_2024_NY_93_subplot_3",714124,2,93,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_94_subplot_1",714258,2,94,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_94_subplot_2",714260,2,94,2,,,,
"SpringOatPeaIntercrop_2024_NY_94_subplot_3",714262,2,94,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_95_subplot_1",713583,2,95,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_95_subplot_2",713585,2,95,2,,,,
"SpringOatPeaIntercrop_2024_NY_95_subplot_3",713587,2,95,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_96_subplot_1",714525,2,96,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_96_subplot_2",714527,2,96,2,,,,
"SpringOatPeaIntercrop_2024_NY_96_subplot_3",714529,2,96,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_97_subplot_1",714041,2,97,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_97_subplot_2",714042,2,97,2,,,,
"SpringOatPeaIntercrop_2024_NY_97_subplot_3",714043,2,97,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_98_subplot_1",713907,2,98,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_98_subplot_2",713909,2,98,2,,,,
"SpringOatPeaIntercrop_2024_NY_98_subplot_3",713911,2,98,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_99_subplot_1",714572,2,99,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_99_subplot_2",714574,2,99,2,,,,
"SpringOatPeaIntercrop_2024_NY_99_subplot_3",714576,2,99,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_100_subplot_1",713889,2,100,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_100_subplot_2",713891,2,100,2,,,,
"SpringOatPeaIntercrop_2024_NY_100_subplot_3",713893,2,100,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_101_subplot_1",714044,3,101,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_101_subplot_2",714045,3,101,2,,,,
"SpringOatPeaIntercrop_2024_NY_101_subplot_3",714046,3,101,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_102_subplot_1",714217,3,102,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_102_subplot_2",714219,3,102,2,,,,
"SpringOatPeaIntercrop_2024_NY_102_subplot_3",714221,3,102,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_103_subplot_1",713847,3,103,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_103_subplot_2",713849,3,103,2,,,,
"SpringOatPeaIntercrop_2024_NY_103_subplot_3",713851,3,103,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_104_subplot_1",714299,3,104,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_104_subplot_2",714301,3,104,2,,,,
"SpringOatPeaIntercrop_2024_NY_104_subplot_3",714303,3,104,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_105_subplot_1",713724,3,105,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_105_subplot_2",713726,3,105,2,,,,
"SpringOatPeaIntercrop_2024_NY_105_subplot_3",713728,3,105,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_106_subplot_1",713919,3,106,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_106_subplot_2",713921,3,106,2,,,,
"SpringOatPeaIntercrop_2024_NY_106_subplot_3",713923,3,106,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_107_subplot_1",713973,3,107,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_107_subplot_2",713975,3,107,2,,,,
