RANGE,COLUMN,YEAR,LOC,LOC_C,TRL,NUR_CODE,REP,BLOCK,PLOTnb,Plot,Check,PLOT_ID,oatAcc,peaAcc,pair,oatName,peaName,Har_ord,Oat Plant Height
3,5,2024,Volga,1,OatPea,72,1,1,33,119,0,20240172119,35,1,17,ND170376,AUSTRIAN FIELD PEAS,63,47
3,6,2024,Volga,1,OatPea,72,1,1,35,120,0,20240172120,12,4,18,IL17-5238,Icicle Winter Peas,88,37
3,7,2024,Volga,1,OatPea,72,1,1,38,121,0,20240172121,5,6,19,DEON,Frostmaster Peas,93,41
4,7,2024,Volga,1,OatPea,72,1,1,40,122,0,20240172122,21,4,20,SABER,Icicle Winter Peas,94,35
4,6,2024,Volga,1,OatPea,72,1,1,42,123,0,20240172123,2,3,21,BUCKSKIN,DS Admiral,87,38
4,5,2024,Volga,1,OatPea,72,1,1,44,124,0,20240172124,18,2,22,OGLE,delta field pea,64,42
4,4,2024,Volga,1,OatPea,72,1,1,46,125,0,20240172125,26,3,23,A11,DS Admiral,57,32
4,3,2024,Volga,1,OatPea,72,1,1,48,126,0,20240172126,28,9,24,GOPHER,NDP140510Y,34,42
4,2,2024,Volga,1,OatPea,72,1,1,50,127,0,20240172127,47,11,25,WI_X10680-3,ND Victory,27,42
4,1,2024,Volga,1,OatPea,72,1,2,51,128,0,20240172128,26,8,26,A11,NDP150231Y,4,34
5,1,2024,Volga,1,OatPea,72,1,2,53,129,0,20240172129,19,5,27,REINS,Organic 4010,5,36
5,2,2024,Volga,1,OatPea,72,1,2,56,130,0,20240172130,36,9,28,OT2130,NDP140510Y,26,41
5,3,2024,Volga,1,OatPea,72,1,2,58,131,0,20240172131,32,1,29,MN18038X_008,AUSTRIAN FIELD PEAS,35,44
5,4,2024,Volga,1,OatPea,72,1,2,59,132,0,20240172132,34,10,30,ND170307,ND Dawn,56,45
5,5,2024,Volga,1,OatPea,72,1,2,62,133,0,20240172133,43,12,31,SD190850,Maxum,65,45
5,6,2024,Volga,1,OatPea,72,1,2,63,134,0,20240172134,10,10,32,HORSEPOWER,ND Dawn,86,38
5,7,2024,Volga,1,OatPea,72,1,2,66,135,1,20240172135,32,5,33,MN18038X_008,Organic 4010,95,41
6,7,2024,Volga,1,OatPea,72,1,2,68,136,0,20240172136,45,11,34,SD191467,ND Victory,96,42
6,6,2024,Volga,1,OatPea,72,1,2,69,137,0,20240172137,20,3,35,RUSHMORE,DS Admiral,85,44
6,5,2024,Volga,1,OatPea,72,1,2,71,138,0,20240172138,33,2,36,ND161488,delta field pea,66,50
6,4,2024,Volga,1,OatPea,72,1,2,74,139,0,20240172139,9,9,37,HAYDEN,NDP140510Y,55,43
6,3,2024,Volga,1,OatPea,72,1,2,76,140,0,20240172140,28,2,38,GOPHER,delta field pea,36,42
6,2,2024,Volga,1,OatPea,72,1,2,77,141,0,20240172141,42,6,39,SD181377,Frostmaster Peas,25,41
6,1,2024,Volga,1,OatPea,72,1,2,80,142,0,20240172142,6,4,40,ESKER,Icicle Winter Peas,6,43
7,1,2024,Volga,1,OatPea,72,1,2,82,143,0,20240172143,46,7,41,WI_X10642-3,NDP150412G,7,42
7,2,2024,Volga,1,OatPea,72,1,2,83,144,0,20240172144,15,5,42,LEGGETT,Organic 4010,24,43
7,3,2024,Volga,1,OatPea,72,1,2,85,145,0,20240172145,3,7,43,COLT,NDP150412G,37,40
7,4,2024,Volga,1,OatPea,72,1,2,87,146,0,20240172146,31,8,44,MN18015X_004,NDP150231Y,54,39
7,5,2024,Volga,1,OatPea,72,1,2,89,147,0,20240172147,29,11,45,IL15-5752,ND Victory,67,39
7,6,2024,Volga,1,OatPea,72,1,2,92,148,0,20240172148,25,12,46,A10,Maxum,84,34
7,7,2024,Volga,1,OatPea,72,1,2,93,149,0,20240172149,44,8,47,SD190992,NDP150231Y,97,40
8,7,2024,Volga,1,OatPea,72,1,2,96,150,0,20240172150,22,3,48,SADDLE,DS Admiral,98,37
8,6,2024,Volga,1,OatPea,72,1,2,97,151,0,20240172151,27,4,49,A25,Icicle Winter Peas,83,41
8,5,2024,Volga,1,OatPea,72,1,2,99,152,0,20240172152,13,5,50,IL17-7334,Organic 4010,68,34
8,4,2024,Volga,1,OatPea,72,1,3,101,153,0,20240172153,19,1,51,REINS,AUSTRIAN FIELD PEAS,53,34
8,3,2024,Volga,1,OatPea,72,1,3,103,154,0,20240172154,41,na,52,SD181245,na,38,45
8,2,2024,Volga,1,OatPea,72,1,3,104,155,0,20240172155,41,8,52,SD181245,NDP150231Y,23,49
8,1,2024,Volga,1,OatPea,72,1,3,105,156,0,20240172156,37,10,53,OT3120,ND Dawn,8,43
9,1,2024,Volga,1,OatPea,72,1,3,107,157,0,20240172157,43,11,54,SD190850,ND Victory,9,46
9,2,2024,Volga,1,OatPea,72,1,3,109,158,0,20240172158,7,2,55,EXCEL,delta field pea,22,39
9,3,2024,Volga,1,OatPea,72,1,3,112,159,0,20240172159,11,5,56,IL17-1253,Organic 4010,39,37
9,4,2024,Volga,1,OatPea,72,1,3,113,160,0,20240172160,9,5,57,HAYDEN,Organic 4010,52,42
9,5,2024,Volga,1,OatPea,72,1,3,116,161,0,20240172161,30,11,58,IL17-1704,ND Victory,69,40
9,6,2024,Volga,1,OatPea,72,1,3,118,162,0,20240172162,33,12,59,ND161488,Maxum,82,45
9,7,2024,Volga,1,OatPea,72,1,3,120,163,0,20240172163,47,7,60,WI_X10680-3,NDP150412G,99,40
10,7,2024,Volga,1,OatPea,72,1,3,122,164,0,20240172164,40,3,61,SD181237,DS Admiral,100,48
10,6,2024,Volga,1,OatPea,72,1,3,124,165,1,20240172165,18,11,62,OGLE,ND Victory,81,43
10,5,2024,Volga,1,OatPea,72,1,3,126,166,0,20240172166,10,5,63,HORSEPOWER,Organic 4010,70,39
10,4,2024,Volga,1,OatPea,72,1,3,128,167,0,20240172167,35,12,64,ND170376,Maxum,51,44
10,3,2024,Volga,1,OatPea,72,1,3,130,168,0,20240172168,4,9,65,CORRAL,NDP140510Y,40,37
10,2,2024,Volga,1,OatPea,72,1,3,132,169,0,20240172169,42,4,66,SD181377,Icicle Winter Peas,21,44
10,1,2024,Volga,1,OatPea,72,1,3,133,170,0,20240172170,1,12,67,BAKER,Maxum,10,39
11,1,2024,Volga,1,OatPea,72,1,3,135,171,0,20240172171,23,6,68,SPURS,Frostmaster Peas,11,37
11,2,2024,Volga,1,OatPea,72,1,3,138,172,0,20240172172,5,7,69,DEON,NDP150412G,20,42
11,3,2024,Volga,1,OatPea,72,1,3,140,173,0,20240172173,17,1,70,NEWBURG,AUSTRIAN FIELD PEAS,41,43
11,4,2024,Volga,1,OatPea,72,1,3,141,174,0,20240172174,14,9,71,IL17-7339,NDP140510Y,50,33
11,5,2024,Volga,1,OatPea,72,1,3,144,175,0,20240172175,2,6,72,BUCKSKIN,Frostmaster Peas,71,36
11,6,2024,Volga,1,OatPea,72,1,3,146,176,0,20240172176,8,2,73,GOLIATH,delta field pea,80,46
11,7,2024,Volga,1,OatPea,72,1,3,147,177,0,20240172177,15,3,74,LEGGETT,DS Admiral,101,41
12,7,2024,Volga,1,OatPea,72,1,3,149,178,0,20240172178,13,6,75,IL17-7334,Frostmaster Peas,102,32
12,6,2024,Volga,1,OatPea,72,1,4,151,179,1,20240172179,11,3,76,IL17-1253,DS Admiral,79,41
12,5,2024,Volga,1,OatPea,72,1,4,153,180,0,20240172180,41,na,77,SD181245,na,72,49
12,4,2024,Volga,1,OatPea,72,1,4,154,181,0,20240172181,41,3,77,SD181245,DS Admiral,49,47
12,3,2024,Volga,1,OatPea,72,1,4,155,182,0,20240172182,20,9,78,RUSHMORE,NDP140510Y,42,44
12,2,2024,Volga,1,OatPea,72,1,4,158,183,0,20240172183,14,2,79,IL17-7339,delta field pea,19,35
12,1,2024,Volga,1,OatPea,72,1,4,160,184,0,20240172184,27,10,80,A25,ND Dawn,12,37
13,1,2024,Volga,1,OatPea,72,1,4,162,185,0,20240172185,46,11,81,WI_X10642-3,ND Victory,13,40
13,2,2024,Volga,1,OatPea,72,1,4,163,186,0,20240172186,1,11,82,BAKER,ND Victory,18,36
13,3,2024,Volga,1,OatPea,72,1,4,166,187,0,20240172187,12,4,83,IL17-5238,Icicle Winter Peas,43,36
13,4,2024,Volga,1,OatPea,72,1,4,167,188,0,20240172188,18,6,84,OGLE,Frostmaster Peas,48,43
13,5,2024,Volga,1,OatPea,72,1,4,169,189,0,20240172189,17,7,85,NEWBURG,NDP150412G,73,44
13,6,2024,Volga,1,OatPea,72,1,4,172,190,0,20240172190,40,4,86,SD181237,Icicle Winter Peas,78,47
13,7,2024,Volga,1,OatPea,72,1,4,173,191,0,20240172191,39,3,87,SD180580,DS Admiral,103,42
14,7,2024,Volga,1,OatPea,72,1,4,176,192,0,20240172192,38,1,88,SD170935,AUSTRIAN FIELD PEAS,104,47
14,6,2024,Volga,1,OatPea,72,1,4,178,193,0,20240172193,44,7,89,SD190992,NDP150412G,77,40
14,5,2024,Volga,1,OatPea,72,1,4,179,194,0,20240172194,45,8,90,SD191467,NDP150231Y,74,41
14,4,2024,Volga,1,OatPea,72,1,4,182,195,0,20240172195,48,5,91,WI_X10710-7,Organic 4010,47,38
14,3,2024,Volga,1,OatPea,72,1,4,183,196,0,20240172196,11,8,92,IL17-1253,NDP150231Y,44,37
14,2,2024,Volga,1,OatPea,72,1,4,185,197,0,20240172197,16,na,93,NATTY,na,17,46
14,1,2024,Volga,1,OatPea,72,1,4,186,198,0,20240172198,16,9,93,NATTY,NDP140510Y,14,46
15,1,2024,Volga,1,OatPea,72,1,4,187,199,0,20240172199,3,2,94,COLT,delta field pea,15,43
15,2,2024,Volga,1,OatPea,72,1,4,190,200,0,20240172200,24,10,95,WARRIOR,ND Dawn,16,40
15,3,2024,Volga,1,OatPea,72,1,4,191,201,0,20240172201,36,12,96,OT2130,Maxum,45,43
15,4,2024,Volga,1,OatPea,72,1,4,194,202,0,20240172202,23,12,97,SPURS,Maxum,46,38
15,5,2024,Volga,1,OatPea,72,1,4,195,203,0,20240172203,7,6,98,EXCEL,Frostmaster Peas,75,38
15,6,2024,Volga,1,OatPea,72,1,4,197,204,0,20240172204,25,4,99,A10,Icicle Winter Peas,76,34
15,7,2024,Volga,1,OatPea,72,1,4,199,205,0,20240172205,21,1,100,SABER,AUSTRIAN FIELD PEAS,105,38
