plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,ManagementFactor:SpringOatPeaIntercrop_2024_AL_AUSTRIAN FIELD PEAS,ManagementFactor:SpringOatPeaIntercrop_2024_AL_DS Admiral,ManagementFactor:SpringOatPeaIntercrop_2024_AL_Frostmaster Peas,ManagementFactor:SpringOatPeaIntercrop_2024_AL_Icicle Winter Peas,ManagementFactor:SpringOatPeaIntercrop_2024_AL_Maxum,ManagementFactor:SpringOatPeaIntercrop_2024_AL_ND Dawn,ManagementFactor:SpringOatPeaIntercrop_2024_AL_ND Victory,ManagementFactor:SpringOatPeaIntercrop_2024_AL_NDP140510Y,ManagementFactor:SpringOatPeaIntercrop_2024_AL_NDP150231Y,ManagementFactor:SpringOatPeaIntercrop_2024_AL_NDP150412G,ManagementFactor:SpringOatPeaIntercrop_2024_AL_Organic 4010,ManagementFactor:SpringOatPeaIntercrop_2024_AL_delta field pea
SpringOatPeaIntercrop_2024_AL_16,711652,ND170307,16,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_17,711580,COLT,17,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_18,711758,COLT,18,1,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_19,711661,IL17-7339,19,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_20,711706,IL17-7339,20,1,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_21,711711,NEWBURG,21,1,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_AL_22,711577,NEWBURG,22,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_23,711740,WARRIOR,23,1,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_AL_24,711724,WARRIOR,24,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_25,711649,BAKER,25,1,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_26,711679,BAKER,26,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_27,711756,OT3120,27,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_28,711586,OT3120,28,1,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_AL_29,711684,SD181245,29,1,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_AL_30,711667,SD181245,30,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_31,711663,WI_X10642-3,31,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_32,711738,WI_X10642-3,32,1,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_33,711565,IL15-5752,33,1,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_34,711656,IL15-5752,34,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_35,711721,A25,35,1,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_36,711643,A25,36,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_37,711603,WI_X10680-3,37,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_38,711734,WI_X10680-3,38,1,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_AL_39,711648,HAYDEN,39,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_40,711692,HAYDEN,40,1,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_AL_41,711688,SD181237,41,1,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_AL_42,711608,SD181237,42,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_43,711746,MN18038X_008,43,1,1,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_AL_44,711676,MN18038X_008,44,1,1,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_45,711645,EXCEL,45,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_46,711725,EXCEL,46,1,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_AL_47,711736,ND161488,47,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_48,711606,ND161488,48,1,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_AL_49,711722,RUSHMORE,49,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_50,711673,RUSHMORE,50,1,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_AL_51,711650,ND161488,51,2,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_AL_52,711742,ND161488,52,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_53,711572,SD190850,53,2,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_54,711666,SD190850,54,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_55,711714,OT3120,55,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_56,711632,OT3120,56,2,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_57,711598,A10,57,2,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_58,711728,A10,58,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_59,711638,REINS,59,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_60,711581,REINS,60,2,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_AL_61,711579,LEGGETT,61,2,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_AL_62,711710,LEGGETT,62,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_63,711657,WI_X10710-7,63,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_64,711566,WI_X10710-7,64,2,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_AL_65,711744,NATTY,65,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_66,711622,NATTY,66,2,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_AL_67,711627,WI_X10680-3,67,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_68,711707,WI_X10680-3,68,2,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_AL_69,711618,MN18015X_004,69,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_70,711601,MN18015X_004,70,2,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_AL_71,711615,WI_X10642-3,71,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_72,711681,WI_X10642-3,72,2,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_AL_73,711634,A11,73,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_74,711611,A11,74,2,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_AL_75,711751,SD170935,75,2,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_AL_76,711570,SD170935,76,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_77,711668,A25,77,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_78,711695,A25,78,2,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_AL_79,711576,SPURS,79,2,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_80,711613,SPURS,80,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_81,711602,SD181245,81,2,1,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_AL_82,711696,SD181245,82,2,1,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_83,711628,CORRAL,83,2,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_AL_84,711604,CORRAL,84,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_85,711761,DEON,85,2,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_AL_86,711591,DEON,86,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_87,711658,IL17-7334,87,2,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_AL_88,711685,IL17-7334,88,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_89,711585,SD181237,89,2,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_90,711590,SD181237,90,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_91,711568,OT2130,91,2,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_92,711717,OT2130,92,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_93,711651,GOLIATH,93,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_94,711567,GOLIATH,94,2,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_AL_95,711741,SD180580,95,2,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_AL_96,711614,SD180580,96,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_97,711624,BAKER,97,2,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_AL_98,711702,BAKER,98,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_99,711620,IL17-1704,99,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_100,711699,IL17-1704,100,2,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_AL_101,711625,IL17-1253,101,3,1,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_102,711669,IL17-1253,102,3,1,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_103,711691,IL15-5752,103,3,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_AL_104,711574,IL15-5752,104,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_105,711763,SD191467,105,3,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_106,711703,SD191467,106,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_107,711713,SD190850,107,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_108,711754,SD190850,108,3,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_AL_109,711617,MN18038X_008,109,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_110,711677,MN18038X_008,110,3,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_AL_111,711635,ND170376,111,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_112,711653,ND170376,112,3,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_AL_113,711689,HAYDEN,113,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_114,711587,HAYDEN,114,3,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_AL_115,711748,IL17-7334,115,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_116,711719,IL17-7334,116,3,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_117,711705,SADDLE,117,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_118,711757,SADDLE,118,3,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_AL_119,711600,SD190992,119,3,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_AL_120,711619,SD190992,120,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_121,711752,REINS,121,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_122,711745,REINS,122,3,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_AL_123,711609,WI_X10710-7,123,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_124,711704,WI_X10710-7,124,3,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_AL_125,711642,BUCKSKIN,125,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_126,711573,BUCKSKIN,126,3,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_AL_127,711584,ND170307,127,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_128,711629,ND170307,128,3,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_AL_129,711693,SD181245,129,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_130,711750,SD181245,130,3,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_AL_131,711616,SD181377,131,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_132,711571,SD181377,132,3,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_AL_133,711747,GOLIATH,133,3,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_AL_134,711671,GOLIATH,134,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_135,711687,NATTY,135,3,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_AL_136,711743,NATTY,136,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_137,711733,DEON,137,3,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_AL_138,711697,DEON,138,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_139,711630,OGLE,139,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_140,711690,OGLE,140,3,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_141,711647,IL17-1253,141,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_142,711665,IL17-1253,142,3,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_AL_143,711675,OT2130,143,3,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_AL_144,711592,OT2130,144,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_145,711749,GOPHER,145,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_146,711720,GOPHER,146,3,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_147,711700,HORSEPOWER,147,3,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_AL_148,711764,HORSEPOWER,148,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_149,711605,IL17-5238,149,3,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_150,711637,IL17-5238,150,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_151,711678,OGLE,151,4,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_152,711709,OGLE,152,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_153,711644,GOPHER,153,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_154,711732,GOPHER,154,4,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_AL_155,711610,A11,155,4,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_AL_156,711655,A11,156,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_157,711672,SD190992,157,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_158,711597,SD190992,158,4,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_AL_159,711762,CORRAL,159,4,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_AL_160,711708,CORRAL,160,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_161,711654,A10,161,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_162,711636,A10,162,4,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_AL_163,711726,COLT,163,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_164,711599,COLT,164,4,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_AL_165,711739,IL17-7339,165,4,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_166,711683,IL17-7339,166,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_167,711698,OGLE,167,4,1,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_168,711727,OGLE,168,4,1,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_AL_169,711588,WARRIOR,169,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_170,711729,WARRIOR,170,4,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_AL_171,711583,EXCEL,171,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_172,711594,EXCEL,172,4,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_AL_173,711735,SPURS,173,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_174,711640,SPURS,174,4,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_AL_175,711701,SADDLE,175,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_176,711760,SADDLE,176,4,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_AL_177,711753,IL17-1253,177,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_178,711712,IL17-1253,178,4,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_179,711662,ESKER,179,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_180,711595,ESKER,180,4,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_181,711759,IL17-5238,181,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_182,711730,IL17-5238,182,4,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_AL_183,711607,NEWBURG,183,4,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_AL_184,711715,NEWBURG,184,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_185,711623,SD170935,185,4,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_186,711589,SD170935,186,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_187,711575,SD180580,187,4,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_AL_188,711631,SD180580,188,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_189,711682,SD181377,189,4,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_AL_190,711716,SD181377,190,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_191,711660,MN18015X_004,191,4,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_192,711641,MN18015X_004,192,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_193,711723,RUSHMORE,193,4,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_194,711596,RUSHMORE,194,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_195,711737,LEGGETT,195,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_196,711680,LEGGETT,196,4,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_AL_197,711694,SABER,197,4,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_AL_198,711731,SABER,198,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_199,711582,HORSEPOWER,199,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_200,711670,HORSEPOWER,200,4,,1,,,,,,,,,,1,,,,
