"studyName","studyYear","studyLoc","germplasmName","peaName","pea_type","observationLevel","observationUnitName","plotNumber","blockNumber","oat_yield","pea_yield","oat_fraction","location","management"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SADDLE","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_48",48,"2",0.04409171076,89.63844797,0.000491642084590287,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","WARRIOR","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_49",49,"2",93.12169312,84.47971781,0.524329692159389,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD181377","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_50",50,"2",89.28571429,106.70194,0.455568054087148,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","WI_X10642-3","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_51",51,"3",110.7142857,76.41093474,0.591658812423414,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","BUCKSKIN","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_52",52,"3",66.66666667,135.0970018,0.330419580371144,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SADDLE","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_53",53,"3",69.00352734,107.7601411,0.390371663752964,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","WI_X10710-7","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_54",54,"3",NA,NA,NA,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","A10","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_55",55,"3",1.014109347,83.68606702,0.0119729307599778,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SABER","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_56",56,"3",129.1005291,99.91181658,0.563727377738809,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","OT2130","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_57",57,"3",132.7601411,71.25220459,0.650745623511094,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-7339","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_58",58,"3",40.74074074,119.7530864,0.253846153873953,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","OGLE","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_59",59,"3",16.88712522,77.4691358,0.178971962617516,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD181245","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_60",60,"3",24.55908289,105.7319224,0.188494077817089,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-1253","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_61",61,"3",98.19223986,141.1375661,0.410280029543881,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL15-5752","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_62",62,"3",41.04938272,95.32627866,0.301002263194304,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","HAYDEN","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_63",63,"3",97.61904762,159.3474427,0.379890185286164,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","CORRAL","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_64",64,"3",58.95061728,76.85185185,0.434090909080366,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","ESKER","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_65",65,"3",76.32275132,152.9100529,0.332948643976589,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","EXCEL","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_66",66,"3",70.37037037,115.696649,0.378199052192406,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD170935","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_67",67,"3",NA,NA,NA,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","COLT","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_68",68,"3",46.07583774,101.675485,0.311847209795071,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","HORSEPOWER","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_69",69,"3",17.10758377,88.18342152,0.162479061937732,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD191467","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_70",70,"3",67.46031746,122.9276896,0.354330708649837,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-7334","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_71",71,"3",76.85185185,125.6613757,0.379490528987917,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD181377","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_72",72,"3",28.30687831,101.0582011,0.21881390587862,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","OT3120","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_73",73,"3",0.2204585538,83.37742504,0.00263713080191363,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","MN18038X_008","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_74",74,"3",104.7178131,91.7989418,0.532869643371055,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","NATTY","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_75",75,"3",52.55731922,129.4973545,0.288689755368946,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","HAYDEN","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_76",76,"4",64.99118166,98.41269841,0.39773340530322,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD170935","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_77",77,"4",39.15343915,167.7689594,0.189217984250937,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","MN18038X_008","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_78",78,"4",61.55202822,64.37389771,0.488795518201833,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","GOPHER","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_79",79,"4",98.54497354,119.0917108,0.452795785962487,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-1253","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_80",80,"4",120.8112875,106.2169312,0.532142163612016,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","NEWBURG","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_81",81,"4",86.77248677,89.46208113,0.492369276947057,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","MN18038X_008","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_82",82,"4",84.87654321,88.88888889,0.488454706924416,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","ND170376","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_83",83,"4",68.73897707,91.49029982,0.429003852505622,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","BUCKSKIN","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_84",84,"4",74.6031746,81.34920635,0.478371501259212,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-1704","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_85",85,"4",49.86772487,93.0335097,0.348966368415609,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD181237","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_86",86,"4",80.29100529,165.9171076,0.326110315162003,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-7334","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_87",87,"4",137.345679,88.40388007,0.608398437480058,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","BAKER","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_88",88,"4",0.08818342152,87.52204586,0.00100654252640566,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","MN18015X_004","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_89",89,"4",0.3968253968,197.2663139,0.00200758420721098,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD190992","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_90",90,"4",66.26984127,127.6014109,0.341823970951041,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","OGLE","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_91",91,"4",151.1904762,86.86067019,0.635117614398311,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","GOLIATH","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_92",92,"4",104.0123457,90.91710758,0.533589685652044,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD190850","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_93",93,"4",177.0282187,127.9982363,0.580370049214256,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SPURS","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_94",94,"4",152.9982363,76.76366843,0.665899059636508,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD191467","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_95",95,"4",56.34920635,102.9541446,0.353722668192247,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","REINS","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_96",96,"4",106.5696649,116.7107584,0.477290679249621,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","LEGGETT","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_97",97,"4",146.5167549,97.5308642,0.600361337022361,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","WI_X10642-3","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_98",98,"4",102.1164021,71.51675485,0.588115794781096,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","DEON","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_99",99,"4",21.16402116,91.4021164,0.188014101032108,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","ND170307","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_100",100,"4",10.53791887,74.02998236,0.124608967666585,"NY","intercrop"
"SpringOatPeaIntercrop_2024_NY","2024","NY","EXCEL",NA,"monoculture","plot","SpringOatPeaIntercrop_2024_NY_1",1,"1",38,NA,NA,"NY","monoculture"
"SpringOatPeaIntercrop_2024_NY","2024","NY","EXCEL","DS Admiral","field","plot","SpringOatPeaIntercrop_2024_NY_2",2,"1",83,16,0.838383838383838,"NY","intercrop"
"SpringOatPeaIntercrop_2024_NY","2024","NY","IL17-1704","Maxum","forage","plot","SpringOatPeaIntercrop_2024_NY_3",3,"1",41,3,0.931818181818182,"NY","intercrop"
"SpringOatPeaIntercrop_2024_NY","2024","NY","IL17-1704",NA,"monoculture","plot","SpringOatPeaIntercrop_2024_NY_4",4,"1",100,NA,NA,"NY","monoculture"
"SpringOatPeaIntercrop_2024_NY","2024","NY","IL17-1253",NA,"monoculture","plot","SpringOatPeaIntercrop_2024_NY_5",5,"1",75,NA,NA,"NY","monoculture"
"SpringOatPeaIntercrop_2024_NY","2024","NY","IL17-1253","ND Victory","field","plot","SpringOatPeaIntercrop_2024_NY_6",6,"1",96,5,0.95049504950495,"NY","intercrop"
"SpringOatPeaIntercrop_2024_NY","2024","NY","WARRIOR",NA,"monoculture","plot","SpringOatPeaIntercrop_2024_NY_7",7,"1",108,NA,NA,"NY","monoculture"
"SpringOatPeaIntercrop_2024_NY","2024","NY","WARRIOR","NDP150412G","field","plot","SpringOatPeaIntercrop_2024_NY_8",8,"1",130,8,0.942028985507246,"NY","intercrop"
"SpringOatPeaIntercrop_2024_NY","2024","NY","SD180580","delta field pea","field","plot","SpringOatPeaIntercrop_2024_NY_9",9,"1",83,5,0.943181818181818,"NY","intercrop"
"SpringOatPeaIntercrop_2024_NY","2024","NY","SD180580",NA,"monoculture","plot","SpringOatPeaIntercrop_2024_NY_10",10,"1",135,NA,NA,"NY","monoculture"
"SpringOatPeaIntercrop_2024_NY","2024","NY","WI_X10710-7",NA,"monoculture","plot","SpringOatPeaIntercrop_2024_NY_11",11,"1",138,NA,NA,"NY","monoculture"
"SpringOatPeaIntercrop_2024_NY","2024","NY","WI_X10710-7","NDP140510Y","field","plot","SpringOatPeaIntercrop_2024_NY_12",12,"1",127,7,0.947761194029851,"NY","intercrop"
"SpringOatPeaIntercrop_2024_NY","2024","NY","SD181237",NA,"monoculture","plot","SpringOatPeaIntercrop_2024_NY_13",13,"1",33,NA,NA,"NY","monoculture"
"SpringOatPeaIntercrop_2024_NY","2024","NY","SD181237","Maxum","forage","plot","SpringOatPeaIntercrop_2024_NY_14",14,"1",35,18,0.660377358490566,"NY","intercrop"
"SpringOatPeaIntercrop_2024_NY","2024","NY","MN18015X_004","Icicle Winter Peas","forage","plot","SpringOatPeaIntercrop_2024_NY_15",15,"1",61,3,0.953125,"NY","intercrop"
"SpringOatPeaIntercrop_2024_NY","2024","NY","MN18015X_004",NA,"monoculture","plot","SpringOatPeaIntercrop_2024_NY_16",16,"1",55,NA,NA,"NY","monoculture"
"SpringOatPeaIntercrop_2024_NY","2024","NY","COLT","NDP150231Y","field","plot","SpringOatPeaIntercrop_2024_NY_17",17,"1",30,6,0.833333333333333,"NY","intercrop"
"SpringOatPeaIntercrop_2024_NY","2024","NY","COLT",NA,"monoculture","plot","SpringOatPeaIntercrop_2024_NY_18",18,"1",11,NA,NA,"NY","monoculture"
