studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,germplasmEntryNumber,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Biomass_Time,Biomass_1_oat_g,Biomass_2_oat_g,Biomass_3_oat_g,Biomass_4_oat_g,Grain weight - g|CO_350:0005123,oat_grain_yield,Lodging,Biomass_1_pea_g,Biomass_2_pea_g,Biomass_3_pea_g,Biomass_4_pea_g,Pea grain weight - g|COMP:0000009,pea_grain_yield,Pea plant establishment - plants/ft2|COMP:0000052,Pea plant height - cm|day 151|COMP:0000087,Pea plant height - cm|day 176|COMP:0000088,Pea plant height - cm|day 196|COMP:0000089,Pea plant height - cm|day 214|COMP:0000090,Plant establishment - plants/ft2|CO_350:0005124,Plant height - cm|day 151|COMP:0000075,Plant height - cm|day 176|COMP:0000076,Plant height - cm|day 196|COMP:0000077,Plant height - cm|day 214|COMP:0000078,Biomass_1_weed_g,Biomass_2_weed_g,Biomass_3_weed_g,Biomass_4_weed_g,notes,AUSTRIAN FIELD PEAS,DS Admiral,Frostmaster Peas,Icicle Winter Peas,Maxum,ND Dawn,ND Victory,NDP140510Y,NDP150231Y,NDP150412G,Organic 4010,delta field pea,peaName,pea_type
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202026,IL17-1704,NA,NA,subplot,714189,SpringOatPeaIntercrop_2024_NY_3_subplot_2,1,1,3,1,3,test,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,87,104,84,21,24,81,94,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maxum,NA,NA,NA,NA,NA,NA,NA,Maxum,forage
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202026,IL17-1704,NA,NA,subplot,714191,SpringOatPeaIntercrop_2024_NY_3_subplot_3,1,1,3,1,3,test,NA,2,NA,246.1,NA,NA,NA,NA,NA,NA,57.4,NA,NA,NA,NA,10,16,84,82,68,33,26,90,93,98,NA,47.7,NA,NA,NA,NA,NA,NA,NA,Maxum,NA,NA,NA,NA,NA,NA,NA,Maxum,forage
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202026,IL17-1704,NA,NA,plot,711345,SpringOatPeaIntercrop_2024_NY_4,1,1,4,1,4,test,NA,,NA,202,NA,214.4,246,100,4,NA,0,NA,0,1,NA,0,0,0,34.66666667,0,24.66666667,22.66666667,89.66666667,103.6666667,108,NA,104,NA,285.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202026,IL17-1704,NA,NA,subplot,713812,SpringOatPeaIntercrop_2024_NY_4_subplot_1,1,1,4,1,4,test,NA,4,NA,NA,NA,214.4,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,25,20,91,107,103,NA,NA,NA,285.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202026,IL17-1704,NA,NA,subplot,713814,SpringOatPeaIntercrop_2024_NY_4_subplot_2,1,1,4,1,4,test,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,104,0,35,24,90,101,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202026,IL17-1704,NA,NA,subplot,713815,SpringOatPeaIntercrop_2024_NY_4_subplot_3,1,1,4,1,4,test,NA,2,NA,202,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,14,24,88,103,112,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202018,IL17-1253,17-1253,NA,plot,711177,SpringOatPeaIntercrop_2024_NY_5,1,1,5,1,5,test,NA,,33.7,NA,486.5,NA,228,75,1,0,NA,0,NA,0,NA,0,0,0,0,0,28.66666667,27.66666667,82.33333333,97.33333333,101,26.2,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202018,IL17-1253,17-1253,NA,subplot,714157,SpringOatPeaIntercrop_2024_NY_5_subplot_1,1,1,5,1,5,test,NA,1,33.7,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,0,0,0,0,0,20,29,86,97,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202018,IL17-1253,17-1253,NA,subplot,714159,SpringOatPeaIntercrop_2024_NY_5_subplot_2,1,1,5,1,5,test,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,29,24,80,97,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202018,IL17-1253,17-1253,NA,subplot,714161,SpringOatPeaIntercrop_2024_NY_5_subplot_3,1,1,5,1,5,test,NA,3,NA,NA,486.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,37,30,81,98,103,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202018,IL17-1253,17-1253,NA,plot,711217,SpringOatPeaIntercrop_2024_NY_6,1,1,6,1,6,test,NA,,43.5,NA,136.9,NA,249,96,2,10,NA,53.5,NA,13,5,3.333333333,14.66666667,69.33333333,78,73.33333333,30,25,82.66666667,99.33333333,99.33333333,13.9,NA,283.1,NA,NA,NA,NA,NA,NA,NA,NA,ND Victory,NA,NA,NA,NA,NA,ND Victory,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202018,IL17-1253,17-1253,NA,subplot,714270,SpringOatPeaIntercrop_2024_NY_6_subplot_1,1,1,6,1,6,test,NA,1,43.5,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,3,16,54,72,54,19,25,84,96,96,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND Victory,NA,NA,NA,NA,NA,ND Victory,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202018,IL17-1253,17-1253,NA,subplot,714272,SpringOatPeaIntercrop_2024_NY_6_subplot_2,1,1,6,1,6,test,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,71,73,74,61,28,83,95,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND Victory,NA,NA,NA,NA,NA,ND Victory,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202018,IL17-1253,17-1253,NA,subplot,714274,SpringOatPeaIntercrop_2024_NY_6_subplot_3,1,1,6,1,6,test,NA,3,NA,NA,136.9,NA,NA,NA,NA,NA,NA,53.5,NA,NA,NA,2,13,83,89,92,10,22,81,107,102,NA,NA,283.1,NA,NA,NA,NA,NA,NA,NA,NA,ND Victory,NA,NA,NA,NA,NA,ND Victory,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",102120,WARRIOR,SD120419,NA,plot,711241,SpringOatPeaIntercrop_2024_NY_7,1,1,7,1,7,test,NA,,30.2,NA,NA,368,333,108,1,0,NA,NA,0,1,NA,0,0,0,0,0,24.33333333,25.33333333,85.66666667,109,112.6666667,14,NA,NA,200.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",102120,WARRIOR,SD120419,NA,subplot,714578,SpringOatPeaIntercrop_2024_NY_7_subplot_1,1,1,7,1,7,test,NA,1,30.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,34,27,84,105,112,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",102120,WARRIOR,SD120419,NA,subplot,714580,SpringOatPeaIntercrop_2024_NY_7_subplot_2,1,1,7,1,7,test,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,16,23,81,107,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",102120,WARRIOR,SD120419,NA,subplot,714582,SpringOatPeaIntercrop_2024_NY_7_subplot_3,1,1,7,1,7,test,NA,4,NA,NA,NA,368,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,23,26,92,115,115,NA,NA,NA,200.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",102120,WARRIOR,SD120419,NA,plot,711165,SpringOatPeaIntercrop_2024_NY_8,1,1,8,1,8,test,NA,,39.7,NA,NA,300,360,130,1,1.6,NA,NA,10.7,22,8,4.333333333,14,58.66666667,62.66666667,56.33333333,28.66666667,22.33333333,85,107.3333333,110.6666667,9.1,NA,NA,200.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NDP150412G,NA,NA,NDP150412G,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",102120,WARRIOR,SD120419,NA,subplot,714414,SpringOatPeaIntercrop_2024_NY_8_subplot_1,1,1,8,1,8,test,NA,1,39.7,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,4,8,53,48,39,34,24,83,110,107,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NDP150412G,NA,NA,NDP150412G,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",102120,WARRIOR,SD120419,NA,subplot,714416,SpringOatPeaIntercrop_2024_NY_8_subplot_2,1,1,8,1,8,test,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,65,71,63,29,24,87,107,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NDP150412G,NA,NA,NDP150412G,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",102120,WARRIOR,SD120419,NA,subplot,714418,SpringOatPeaIntercrop_2024_NY_8_subplot_3,1,1,8,1,8,test,NA,4,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,10.7,NA,NA,1,14,58,69,67,23,19,85,105,113,NA,NA,NA,200.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NDP150412G,NA,NA,NDP150412G,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",510806,SD180580,SD180580,NA,plot,711338,SpringOatPeaIntercrop_2024_NY_9,1,1,9,1,9,test,NA,,28.1,NA,NA,203.6,144,83,1,8.7,NA,NA,0,8,5,4,13.66666667,56.66666667,60.33333333,52.33333333,28,22.66666667,84.33333333,103,104.3333333,2.9,NA,NA,318.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,delta field pea,delta field pea,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",510806,SD180580,SD180580,NA,subplot,714329,SpringOatPeaIntercrop_2024_NY_9_subplot_1,1,1,9,1,9,test,NA,4,NA,NA,NA,203.6,NA,NA,NA,NA,NA,NA,0,NA,NA,2,15,63,64,42,15,19,84,104,107,NA,NA,NA,318.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,delta field pea,delta field pea,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",510806,SD180580,SD180580,NA,subplot,714331,SpringOatPeaIntercrop_2024_NY_9_subplot_2,1,1,9,1,9,test,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,60,61,57,25,23,84,107,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,delta field pea,delta field pea,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",510806,SD180580,SD180580,NA,subplot,714333,SpringOatPeaIntercrop_2024_NY_9_subplot_3,1,1,9,1,9,test,NA,1,28.1,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,8,16,47,56,58,44,26,85,98,98,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,delta field pea,delta field pea,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",510806,SD180580,SD180580,NA,plot,711256,SpringOatPeaIntercrop_2024_NY_10,1,1,10,1,10,test,NA,,23.7,NA,NA,269.9,289,135,1,0,NA,NA,0,2,NA,0,0,0,0,0,29.66666667,24.33333333,85,100.3333333,110.3333333,7.8,NA,NA,179.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",510806,SD180580,SD180580,NA,subplot,714047,SpringOatPeaIntercrop_2024_NY_10_subplot_1,1,1,10,1,10,test,NA,4,NA,NA,NA,269.9,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,21,24,87,106,114,NA,NA,NA,179.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
