"","studyName","studyYear","studyLoc","germplasmName","peaName","pea_type","observationLevel","observationUnitName","plotNumber","blockNumber","Biomass_1_oat_g","Biomass_2_oat_g","Biomass_3_oat_g","Biomass_4_oat_g","oat_yield","Lodging","Biomass_1_pea_g","Biomass_2_pea_g","Biomass_3_pea_g","Biomass_4_pea_g","pea_yield","oat_fraction","location"
"41","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","WI_X10680-3","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_42",42,2,18.4,NA,NA,197,147.5308642,0,6.2,NA,NA,66,115.5643739,0.560750796044149,"NY"
"42","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","NEWBURG","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_43",43,2,24.4,NA,NA,108.5,53.52733686,8,5.6,NA,NA,50,130.1587302,0.291406624991952,"NY"
"43","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SPURS","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_44",44,2,NA,53.4,NA,124.7,143.2539683,0,NA,59.7,NA,102.1,79.32098765,0.643621236219321,"NY"
"44","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","COLT","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_45",45,2,NA,108,104.7,NA,84.70017637,7,NA,33.2,110.6,NA,84.03880071,0.501959759598656,"NY"
"45","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","ND161488","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_46",46,2,48.8,NA,NA,127.8,112.3015873,7,10.9,NA,NA,104,123.8536155,0.475541448879736,"NY"
"46","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD190850","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_47",47,2,48.5,NA,85.8,NA,118.5185185,0,22.8,NA,79.9,NA,97.57495591,0.548459498018583,"NY"
"47","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SADDLE","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_48",48,2,NA,46,NA,57.6,0.04409171076,9,NA,31.7,NA,186,89.63844797,0.000491642084590287,"NY"
"48","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","WARRIOR","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_49",49,2,NA,62,76.1,NA,93.12169312,0,NA,64.9,54.7,NA,84.47971781,0.524329692159389,"NY"
"49","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD181377","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_50",50,2,NA,53.4,77.3,NA,89.28571429,0,NA,70.3,93.4,NA,106.70194,0.455568054087148,"NY"
"50","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","WI_X10642-3","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_51",51,3,NA,26.8,NA,67.8,110.7142857,0,NA,23.4,NA,86.4,76.41093474,0.591658812423414,"NY"
"51","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","BUCKSKIN","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_52",52,3,40.9,NA,NA,65.1,66.66666667,0,13.1,NA,NA,131.9,135.0970018,0.330419580371144,"NY"
"52","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SADDLE","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_53",53,3,34.8,NA,NA,56.5,69.00352734,0,14.2,NA,NA,129,107.7601411,0.390371663752964,"NY"
"53","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","WI_X10710-7","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_54",54,3,NA,NA,73.7,NA,NA,NA,NA,NA,131.4,NA,NA,NA,"NY"
"54","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","A10","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_55",55,3,14.6,NA,NA,23.2,1.014109347,9,19.8,NA,NA,10.6,83.68606702,0.0119729307599778,"NY"
"55","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SABER","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_56",56,3,NA,66.8,102.8,NA,129.1005291,0,NA,58.3,79.9,NA,99.91181658,0.563727377738809,"NY"
"56","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","OT2130","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_57",57,3,23.8,NA,NA,90.5,132.7601411,0,5.7,NA,NA,59,71.25220459,0.650745623511094,"NY"
"57","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-7339","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_58",58,3,NA,36.6,123.7,NA,40.74074074,0,NA,55.4,78.7,NA,119.7530864,0.253846153873953,"NY"
"58","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","OGLE","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_59",59,3,NA,70.2,NA,109.7,16.88712522,0,NA,43.4,NA,104.3,77.4691358,0.178971962617516,"NY"
"59","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD181245","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_60",60,3,16.4,NA,NA,114.6,24.55908289,0,10.2,NA,NA,42.7,105.7319224,0.188494077817089,"NY"
"60","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-1253","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_61",61,3,NA,47,56.7,NA,98.19223986,0,NA,33.9,84.1,NA,141.1375661,0.410280029543881,"NY"
"61","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL15-5752","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_62",62,3,NA,28.6,NA,26.8,41.04938272,8,NA,28.9,NA,149.4,95.32627866,0.301002263194304,"NY"
"62","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","HAYDEN","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_63",63,3,22.6,NA,NA,117.3,97.61904762,0,14.7,NA,NA,57.5,159.3474427,0.379890185286164,"NY"
"63","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","CORRAL","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_64",64,3,NA,19.2,99.7,NA,58.95061728,0,NA,58,89.6,NA,76.85185185,0.434090909080366,"NY"
"64","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","ESKER","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_65",65,3,23.8,NA,56.6,NA,76.32275132,7,1,NA,27.8,NA,152.9100529,0.332948643976589,"NY"
"65","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","EXCEL","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_66",66,3,26.1,NA,51.2,NA,70.37037037,0,14.9,NA,96.9,NA,115.696649,0.378199052192406,"NY"
"66","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD170935","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_67",67,3,NA,NA,NA,26.6,NA,NA,NA,NA,NA,125,NA,NA,"NY"
"67","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","COLT","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_68",68,3,5,NA,72.6,NA,46.07583774,0,12.6,NA,80,NA,101.675485,0.311847209795071,"NY"
"68","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","HORSEPOWER","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_69",69,3,24.5,NA,20.1,NA,17.10758377,9,12.7,NA,76,NA,88.18342152,0.162479061937732,"NY"
"69","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD191467","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_70",70,3,12.5,NA,NA,87.9,67.46031746,0,6.6,NA,NA,93.7,122.9276896,0.354330708649837,"NY"
"70","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-7334","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_71",71,3,38.3,NA,31.9,NA,76.85185185,0,20.5,NA,121.3,NA,125.6613757,0.379490528987917,"NY"
"71","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD181377","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_72",72,3,25,NA,NA,56.6,28.30687831,9,13.1,NA,NA,86.2,101.0582011,0.21881390587862,"NY"
"72","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","OT3120","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_73",73,3,NA,19.3,NA,8.5,0.2204585538,9,NA,63.4,NA,86.6,83.37742504,0.00263713080191363,"NY"
"73","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","MN18038X_008","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_74",74,3,8.2,NA,NA,98.5,104.7178131,6,11.3,NA,NA,72.7,91.7989418,0.532869643371055,"NY"
"74","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","NATTY","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_75",75,3,NA,55.9,NA,117.1,52.55731922,8,NA,37.7,NA,66.7,129.4973545,0.288689755368946,"NY"
"75","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","HAYDEN","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_76",76,4,16.5,NA,NA,120.3,64.99118166,8,4.2,NA,NA,98.9,98.41269841,0.39773340530322,"NY"
"76","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD170935","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_77",77,4,26.9,NA,NA,41.4,39.15343915,8,9,NA,NA,84.2,167.7689594,0.189217984250937,"NY"
"77","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","MN18038X_008","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_78",78,4,7.9,NA,52,NA,61.55202822,8,5.7,NA,184.3,NA,64.37389771,0.488795518201833,"NY"
"78","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","GOPHER","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_79",79,4,12.4,NA,82.1,NA,98.54497354,0,21.2,NA,37.1,NA,119.0917108,0.452795785962487,"NY"
"79","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-1253","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_80",80,4,NA,52.9,65.3,NA,120.8112875,0,NA,30.4,129.6,NA,106.2169312,0.532142163612016,"NY"
"80","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","NEWBURG","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_81",81,4,NA,39.4,NA,123.6,86.77248677,0,NA,64.8,NA,65.9,89.46208113,0.492369276947057,"NY"
"81","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","MN18038X_008","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_82",82,4,27.3,NA,NA,90.8,84.87654321,5,10.1,NA,NA,158.2,88.88888889,0.488454706924416,"NY"
"82","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","ND170376","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_83",83,4,NA,46.7,68.5,NA,68.73897707,0,NA,46.9,77.4,NA,91.49029982,0.429003852505622,"NY"
"83","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","BUCKSKIN","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_84",84,4,27,NA,NA,76.9,74.6031746,0,24.1,NA,NA,60.6,81.34920635,0.478371501259212,"NY"
"84","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-1704","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_85",85,4,NA,45.9,49.1,NA,49.86772487,9,NA,38.3,84.6,NA,93.0335097,0.348966368415609,"NY"
"85","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD181237","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_86",86,4,25.9,NA,88.3,NA,80.29100529,0,15.2,NA,103.9,NA,165.9171076,0.326110315162003,"NY"
"86","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-7334","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_87",87,4,NA,37.3,93.8,NA,137.345679,5,NA,25.1,89.2,NA,88.40388007,0.608398437480058,"NY"
"87","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","BAKER","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_88",88,4,8.8,NA,67.5,NA,0.08818342152,9,13,NA,239.1,NA,87.52204586,0.00100654252640566,"NY"
"88","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","MN18015X_004","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_89",89,4,NA,25.8,NA,79.1,0.3968253968,9,NA,49.7,NA,157.3,197.2663139,0.00200758420721098,"NY"
"89","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD190992","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_90",90,4,NA,60.7,NA,97.6,66.26984127,0,NA,48.2,NA,157.3,127.6014109,0.341823970951041,"NY"
"90","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","OGLE","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_91",91,4,NA,83.5,71,NA,151.1904762,0,NA,45.1,119,NA,86.86067019,0.635117614398311,"NY"
"91","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","GOLIATH","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_92",92,4,NA,78,NA,167.5,104.0123457,NA,NA,4.7,NA,35.8,90.91710758,0.533589685652044,"NY"
