plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,ManagementFactor:SpringOatPeaIntercrop_2024_IL_AUSTRIAN FIELD PEAS,ManagementFactor:SpringOatPeaIntercrop_2024_IL_DS Admiral,ManagementFactor:SpringOatPeaIntercrop_2024_IL_Frostmaster Peas,ManagementFactor:SpringOatPeaIntercrop_2024_IL_Icicle Winter Peas,ManagementFactor:SpringOatPeaIntercrop_2024_IL_Maxum,ManagementFactor:SpringOatPeaIntercrop_2024_IL_ND Dawn,ManagementFactor:SpringOatPeaIntercrop_2024_IL_ND Victory,ManagementFactor:SpringOatPeaIntercrop_2024_IL_NDP140510Y,ManagementFactor:SpringOatPeaIntercrop_2024_IL_NDP150231Y,ManagementFactor:SpringOatPeaIntercrop_2024_IL_NDP150412G,ManagementFactor:SpringOatPeaIntercrop_2024_IL_Organic 4010,ManagementFactor:SpringOatPeaIntercrop_2024_IL_delta field pea
SpringOatPeaIntercrop_2024_IL_96,711529,WI_X10642-3,96,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_97,711534,SD190850,97,2,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_IL_98,711472,SD190850,98,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_99,711436,GOPHER,99,2,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_IL_100,711371,GOPHER,100,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_101,711537,NATTY,101,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_102,711544,NATTY,102,3,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_103,711368,IL17-5238,103,3,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_IL_104,711486,IL17-5238,104,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_105,711449,RUSHMORE,105,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_106,711416,RUSHMORE,106,3,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_IL_107,711399,A10,107,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_108,711459,A10,108,3,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_IL_109,711498,SD180580,109,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_110,711379,SD180580,110,3,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_IL_111,711519,OT2130,111,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_112,711555,OT2130,112,3,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_IL_113,711388,IL17-7339,113,3,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_IL_114,711467,IL17-7339,114,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_115,711455,IL17-1253,115,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_116,711396,IL17-1253,116,3,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_IL_117,711414,A11,117,3,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_IL_118,711442,A11,118,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_119,711499,BAKER,119,3,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_120,711495,BAKER,120,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_121,711460,HORSEPOWER,121,3,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_122,711424,HORSEPOWER,122,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_123,711492,IL17-1253,123,3,1,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_124,711415,IL17-1253,124,3,1,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_125,711530,IL17-7334,125,3,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_IL_126,711485,IL17-7334,126,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_127,711470,HAYDEN,127,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_128,711536,HAYDEN,128,3,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_IL_129,711373,SABER,129,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_130,711463,SABER,130,3,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_IL_131,711497,SD170935,131,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_132,711483,SD170935,132,3,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_IL_133,711454,ND161488,133,3,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_134,711545,ND161488,134,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_135,711384,SD191467,135,3,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_IL_136,711423,SD191467,136,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_137,711427,BUCKSKIN,137,3,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_IL_138,711374,BUCKSKIN,138,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_139,711538,LEGGETT,139,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_140,711385,LEGGETT,140,3,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_IL_141,711522,SADDLE,141,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_142,711557,SADDLE,142,3,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_IL_143,711381,OGLE,143,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_144,711477,OGLE,144,3,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_145,711462,REINS,145,3,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_IL_146,711405,REINS,146,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_147,711413,COLT,147,3,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_IL_148,711447,COLT,148,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_149,711511,WI_X10710-7,149,3,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_IL_150,711521,WI_X10710-7,150,3,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_151,711380,CORRAL,151,4,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_IL_152,711398,CORRAL,152,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_153,711523,OT3120,153,4,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_IL_154,711426,OT3120,154,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_155,711487,ESKER,155,4,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_IL_156,711549,ESKER,156,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_157,711546,OGLE,157,4,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_IL_158,711506,OGLE,158,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_159,711441,SABER,159,4,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_IL_160,711397,SABER,160,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_161,711554,SD181377,161,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_162,711520,SD181377,162,4,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_IL_163,711404,COLT,163,4,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_IL_164,711500,COLT,164,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_165,711418,WI_X10710-7,165,4,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_166,711378,WI_X10710-7,166,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_167,711369,GOLIATH,167,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_168,711428,GOLIATH,168,4,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_IL_169,711465,DEON,169,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_170,711429,DEON,170,4,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_171,711469,A11,171,4,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_IL_172,711502,A11,172,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_173,711434,IL17-1253,173,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_174,711515,IL17-1253,174,4,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_IL_175,711410,SD190850,175,4,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_176,711439,SD190850,176,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_177,711461,SD190992,177,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_178,711400,SD190992,178,4,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_IL_179,711550,A25,179,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_180,711505,A25,180,4,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_IL_181,711443,ND170307,181,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_182,711431,ND170307,182,4,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_IL_183,711508,OT2130,183,4,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_IL_184,711395,OT2130,184,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_185,711532,SD181237,185,4,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_IL_186,711468,SD181237,186,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_187,711481,MN18038X_008,187,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_188,711518,MN18038X_008,188,4,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_IL_189,711376,SPURS,189,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_190,711394,SPURS,190,4,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_191,711552,WI_X10642-3,191,4,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_IL_192,711517,WI_X10642-3,192,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_193,711406,HAYDEN,193,4,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_IL_194,711504,HAYDEN,194,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_195,711420,IL17-1704,195,4,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_196,711382,IL17-1704,196,4,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_197,711372,SD181245,197,4,1,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_IL_198,711425,SD181245,198,4,1,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_199,711471,ND170376,199,4,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_200,711547,ND170376,200,4,,1,,,,,,,,,,,,,,
