RANGE,COLUMN,YEAR,LOC,LOC_C,TRL,NUR_CODE,REP,BLOCK,PLOTnb,Plot,Check,PLOT_ID,oatAcc,peaAcc,pair,oatName,peaName,Har_ord,HD,Crown Rust 06 28 2024
4,4,2024,Volga,1,OatPea,72,1,1,46,125,0,20240172125,26,3,23,A11,DS Admiral,57,6/14/2024,40
4,3,2024,Volga,1,OatPea,72,1,1,48,126,0,20240172126,28,9,24,GOPHER,NDP140510Y,34,6/17/2024,60
4,2,2024,Volga,1,OatPea,72,1,1,50,127,0,20240172127,47,11,25,WI_X10680-3,ND Victory,27,6/23/2024,10
4,1,2024,Volga,1,OatPea,72,1,2,51,128,0,20240172128,26,8,26,A11,NDP150231Y,4,6/14/2024,40
5,1,2024,Volga,1,OatPea,72,1,2,53,129,0,20240172129,19,5,27,REINS,Organic 4010,5,6/12/2024,40
5,2,2024,Volga,1,OatPea,72,1,2,56,130,0,20240172130,36,9,28,OT2130,NDP140510Y,26,6/20/2024,50
5,3,2024,Volga,1,OatPea,72,1,2,58,131,0,20240172131,32,1,29,MN18038X_008,AUSTRIAN FIELD PEAS,35,6/19/2024,0
5,4,2024,Volga,1,OatPea,72,1,2,59,132,0,20240172132,34,10,30,ND170307,ND Dawn,56,6/21/2024,50
5,5,2024,Volga,1,OatPea,72,1,2,62,133,0,20240172133,43,12,31,SD190850,Maxum,65,6/12/2024,5
5,6,2024,Volga,1,OatPea,72,1,2,63,134,0,20240172134,10,10,32,HORSEPOWER,ND Dawn,86,6/12/2024,60
5,7,2024,Volga,1,OatPea,72,1,2,66,135,1,20240172135,32,5,33,MN18038X_008,Organic 4010,95,6/19/2024,5
6,7,2024,Volga,1,OatPea,72,1,2,68,136,0,20240172136,45,11,34,SD191467,ND Victory,96,6/14/2024,5
6,6,2024,Volga,1,OatPea,72,1,2,69,137,0,20240172137,20,3,35,RUSHMORE,DS Admiral,85,6/16/2024,55
6,5,2024,Volga,1,OatPea,72,1,2,71,138,0,20240172138,33,2,36,ND161488,delta field pea,66,6/16/2024,0
6,4,2024,Volga,1,OatPea,72,1,2,74,139,0,20240172139,9,9,37,HAYDEN,NDP140510Y,55,6/17/2024,50
6,3,2024,Volga,1,OatPea,72,1,2,76,140,0,20240172140,28,2,38,GOPHER,delta field pea,36,6/16/2024,60
6,2,2024,Volga,1,OatPea,72,1,2,77,141,0,20240172141,42,6,39,SD181377,Frostmaster Peas,25,6/16/2024,0
6,1,2024,Volga,1,OatPea,72,1,2,80,142,0,20240172142,6,4,40,ESKER,Icicle Winter Peas,6,6/14/2024,40
7,1,2024,Volga,1,OatPea,72,1,2,82,143,0,20240172143,46,7,41,WI_X10642-3,NDP150412G,7,6/16/2024,20
7,2,2024,Volga,1,OatPea,72,1,2,83,144,0,20240172144,15,5,42,LEGGETT,Organic 4010,24,6/19/2024,50
7,3,2024,Volga,1,OatPea,72,1,2,85,145,0,20240172145,3,7,43,COLT,NDP150412G,37,6/12/2024,45
7,4,2024,Volga,1,OatPea,72,1,2,87,146,0,20240172146,31,8,44,MN18015X_004,NDP150231Y,54,6/11/2024,20
7,5,2024,Volga,1,OatPea,72,1,2,89,147,0,20240172147,29,11,45,IL15-5752,ND Victory,67,6/11/2024,25
7,6,2024,Volga,1,OatPea,72,1,2,92,148,0,20240172148,25,12,46,A10,Maxum,84,6/12/2024,20
7,7,2024,Volga,1,OatPea,72,1,2,93,149,0,20240172149,44,8,47,SD190992,NDP150231Y,97,6/17/2024,5
8,7,2024,Volga,1,OatPea,72,1,2,96,150,0,20240172150,22,3,48,SADDLE,DS Admiral,98,6/12/2024,20
8,6,2024,Volga,1,OatPea,72,1,2,97,151,0,20240172151,27,4,49,A25,Icicle Winter Peas,83,6/10/2024,25
8,5,2024,Volga,1,OatPea,72,1,2,99,152,0,20240172152,13,5,50,IL17-7334,Organic 4010,68,6/13/2024,40
8,4,2024,Volga,1,OatPea,72,1,3,101,153,0,20240172153,19,1,51,REINS,AUSTRIAN FIELD PEAS,53,6/13/2024,15
8,3,2024,Volga,1,OatPea,72,1,3,103,154,0,20240172154,41,na,52,SD181245,na,38,6/18/2024,0
8,2,2024,Volga,1,OatPea,72,1,3,104,155,0,20240172155,41,8,52,SD181245,NDP150231Y,23,6/18/2024,0
8,1,2024,Volga,1,OatPea,72,1,3,105,156,0,20240172156,37,10,53,OT3120,ND Dawn,8,6/17/2024,55
9,1,2024,Volga,1,OatPea,72,1,3,107,157,0,20240172157,43,11,54,SD190850,ND Victory,9,6/12/2024,15
9,2,2024,Volga,1,OatPea,72,1,3,109,158,0,20240172158,7,2,55,EXCEL,delta field pea,22,6/15/2024,40
9,3,2024,Volga,1,OatPea,72,1,3,112,159,0,20240172159,11,5,56,IL17-1253,Organic 4010,39,6/17/2024,15
9,4,2024,Volga,1,OatPea,72,1,3,113,160,0,20240172160,9,5,57,HAYDEN,Organic 4010,52,6/17/2024,50
9,5,2024,Volga,1,OatPea,72,1,3,116,161,0,20240172161,30,11,58,IL17-1704,ND Victory,69,6/14/2024,0
9,6,2024,Volga,1,OatPea,72,1,3,118,162,0,20240172162,33,12,59,ND161488,Maxum,82,6/15/2024,0
9,7,2024,Volga,1,OatPea,72,1,3,120,163,0,20240172163,47,7,60,WI_X10680-3,NDP150412G,99,6/22/2024,15
10,7,2024,Volga,1,OatPea,72,1,3,122,164,0,20240172164,40,3,61,SD181237,DS Admiral,100,6/17/2024,0
10,6,2024,Volga,1,OatPea,72,1,3,124,165,1,20240172165,18,11,62,OGLE,ND Victory,81,6/13/2024,45
10,5,2024,Volga,1,OatPea,72,1,3,126,166,0,20240172166,10,5,63,HORSEPOWER,Organic 4010,70,6/13/2024,60
10,4,2024,Volga,1,OatPea,72,1,3,128,167,0,20240172167,35,12,64,ND170376,Maxum,51,6/19/2024,10
10,3,2024,Volga,1,OatPea,72,1,3,130,168,0,20240172168,4,9,65,CORRAL,NDP140510Y,40,6/15/2024,50
10,2,2024,Volga,1,OatPea,72,1,3,132,169,0,20240172169,42,4,66,SD181377,Icicle Winter Peas,21,6/14/2024,0
10,1,2024,Volga,1,OatPea,72,1,3,133,170,0,20240172170,1,12,67,BAKER,Maxum,10,6/12/2024,50
11,1,2024,Volga,1,OatPea,72,1,3,135,171,0,20240172171,23,6,68,SPURS,Frostmaster Peas,11,6/13/2024,45
11,2,2024,Volga,1,OatPea,72,1,3,138,172,0,20240172172,5,7,69,DEON,NDP150412G,20,6/20/2024,15
11,3,2024,Volga,1,OatPea,72,1,3,140,173,0,20240172173,17,1,70,NEWBURG,AUSTRIAN FIELD PEAS,41,6/19/2024,50
11,4,2024,Volga,1,OatPea,72,1,3,141,174,0,20240172174,14,9,71,IL17-7339,NDP140510Y,50,6/13/2024,25
11,5,2024,Volga,1,OatPea,72,1,3,144,175,0,20240172175,2,6,72,BUCKSKIN,Frostmaster Peas,71,6/10/2024,50
11,6,2024,Volga,1,OatPea,72,1,3,146,176,0,20240172176,8,2,73,GOLIATH,delta field pea,80,6/18/2024,50
11,7,2024,Volga,1,OatPea,72,1,3,147,177,0,20240172177,15,3,74,LEGGETT,DS Admiral,101,6/18/2024,55
12,7,2024,Volga,1,OatPea,72,1,3,149,178,0,20240172178,13,6,75,IL17-7334,Frostmaster Peas,102,6/15/2024,40
12,6,2024,Volga,1,OatPea,72,1,4,151,179,1,20240172179,11,3,76,IL17-1253,DS Admiral,79,6/18/2024,35
12,5,2024,Volga,1,OatPea,72,1,4,153,180,0,20240172180,41,na,77,SD181245,na,72,6/17/2024,0
12,4,2024,Volga,1,OatPea,72,1,4,154,181,0,20240172181,41,3,77,SD181245,DS Admiral,49,6/17/2024,0
12,3,2024,Volga,1,OatPea,72,1,4,155,182,0,20240172182,20,9,78,RUSHMORE,NDP140510Y,42,6/16/2024,55
12,2,2024,Volga,1,OatPea,72,1,4,158,183,0,20240172183,14,2,79,IL17-7339,delta field pea,19,6/14/2024,45
12,1,2024,Volga,1,OatPea,72,1,4,160,184,0,20240172184,27,10,80,A25,ND Dawn,12,6/11/2024,20
13,1,2024,Volga,1,OatPea,72,1,4,162,185,0,20240172185,46,11,81,WI_X10642-3,ND Victory,13,6/17/2024,5
13,2,2024,Volga,1,OatPea,72,1,4,163,186,0,20240172186,1,11,82,BAKER,ND Victory,18,6/13/2024,30
13,3,2024,Volga,1,OatPea,72,1,4,166,187,0,20240172187,12,4,83,IL17-5238,Icicle Winter Peas,43,6/12/2024,25
13,4,2024,Volga,1,OatPea,72,1,4,167,188,0,20240172188,18,6,84,OGLE,Frostmaster Peas,48,6/14/2024,30
13,5,2024,Volga,1,OatPea,72,1,4,169,189,0,20240172189,17,7,85,NEWBURG,NDP150412G,73,6/18/2024,45
13,6,2024,Volga,1,OatPea,72,1,4,172,190,0,20240172190,40,4,86,SD181237,Icicle Winter Peas,78,6/18/2024,0
13,7,2024,Volga,1,OatPea,72,1,4,173,191,0,20240172191,39,3,87,SD180580,DS Admiral,103,6/18/2024,50
14,7,2024,Volga,1,OatPea,72,1,4,176,192,0,20240172192,38,1,88,SD170935,AUSTRIAN FIELD PEAS,104,6/19/2024,0
14,6,2024,Volga,1,OatPea,72,1,4,178,193,0,20240172193,44,7,89,SD190992,NDP150412G,77,6/18/2024,20
14,5,2024,Volga,1,OatPea,72,1,4,179,194,0,20240172194,45,8,90,SD191467,NDP150231Y,74,6/14/2024,5
14,4,2024,Volga,1,OatPea,72,1,4,182,195,0,20240172195,48,5,91,WI_X10710-7,Organic 4010,47,6/18/2024,0
14,3,2024,Volga,1,OatPea,72,1,4,183,196,0,20240172196,11,8,92,IL17-1253,NDP150231Y,44,6/18/2024,30
14,2,2024,Volga,1,OatPea,72,1,4,185,197,0,20240172197,16,na,93,NATTY,na,17,6/14/2024,55
14,1,2024,Volga,1,OatPea,72,1,4,186,198,0,20240172198,16,9,93,NATTY,NDP140510Y,14,6/13/2024,55
15,1,2024,Volga,1,OatPea,72,1,4,187,199,0,20240172199,3,2,94,COLT,delta field pea,15,6/12/2024,60
15,2,2024,Volga,1,OatPea,72,1,4,190,200,0,20240172200,24,10,95,WARRIOR,ND Dawn,16,6/17/2024,25
15,3,2024,Volga,1,OatPea,72,1,4,191,201,0,20240172201,36,12,96,OT2130,Maxum,45,6/19/2024,55
15,4,2024,Volga,1,OatPea,72,1,4,194,202,0,20240172202,23,12,97,SPURS,Maxum,46,6/13/2024,50
15,5,2024,Volga,1,OatPea,72,1,4,195,203,0,20240172203,7,6,98,EXCEL,Frostmaster Peas,75,6/12/2024,50
15,6,2024,Volga,1,OatPea,72,1,4,197,204,0,20240172204,25,4,99,A10,Icicle Winter Peas,76,6/13/2024,20
15,7,2024,Volga,1,OatPea,72,1,4,199,205,0,20240172205,21,1,100,SABER,AUSTRIAN FIELD PEAS,105,6/12/2024,50
